1,1,1.2213833333333334E-4,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
1,2,2.8466E-4,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d2])
2,1,3.417583333333333E-4,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
2,2,4.2787166666666666E-4,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
3,1,4.928083333333333E-4,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
3,2,5.851916666666666E-4,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
4,1,6.392483333333333E-4,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
4,2,7.437033333333333E-4,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
5,1,7.779016666666668E-4,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
5,2,8.68815E-4,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
6,1,9.065299999999999E-4,boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering2-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@180,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
6,2,0.0010173366666666667,ParsAgent@181,(Offer  bid:Bid[a: a2, b: b1, c: c2, d: d2])
