sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
49.807;12880;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@2;Caduceus@3;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.004;7118;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@8;ParsCat@9;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.941;17413;;60s;Yes;No;2;0.51825;0.94128;0.30258;0.30258;1.45953;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@10;YXAgent@11;0.5182537374184544;0.9412798089323321;0.5182537374184544;0.9412798089323321;0.5182537374184544;0.9412798089323321;laptop_seller_utility.xml;laptop_buyer_utility.xml
45.077;11511;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@14;ParsAgent@15;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.946;15066;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@18;Atlas3@19;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.942;16864;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@22;RandomDance@23;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
49.803;13856;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@26;Caduceus@27;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.012;7561;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@32;ParsCat@33;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.950;16478;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@34;YXAgent@35;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
45.076;10044;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@38;ParsAgent@39;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.945;13639;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@42;Atlas3@43;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.952;14828;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@46;RandomDance@47;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
49.823;9668;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@50;Caduceus@51;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.041;6668;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@56;ParsCat@57;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.945;17476;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@58;YXAgent@59;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
45.077;11969;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@62;ParsAgent@63;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.953;16444;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@66;Atlas3@67;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.942;16472;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@70;RandomDance@71;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
49.810;14367;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@74;Caduceus@75;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.018;7794;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@80;ParsCat@81;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.952;19604;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@82;YXAgent@83;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
45.074;13031;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@86;ParsAgent@87;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.943;17523;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@90;Atlas3@91;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.945;17415;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@94;RandomDance@95;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
49.802;14563;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@98;Caduceus@99;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.003;7862;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@104;ParsCat@105;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.947;19816;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@106;YXAgent@107;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
45.075;13365;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@110;ParsAgent@111;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.944;16396;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@114;Atlas3@115;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.946;17425;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@118;RandomDance@119;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
49.803;15101;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@122;Caduceus@123;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.004;7318;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@128;ParsCat@129;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.946;17410;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@130;YXAgent@131;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
45.077;11802;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@134;ParsAgent@135;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.942;14469;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@138;Atlas3@139;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
59.956;15059;;60s;Yes;No;2;0.81508;1.00000;0.00000;0.00000;1.81508;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@142;RandomDance@143;0.8150795959148791;1.0;0.8150795959148791;1.0;0.8150795959148791;1.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
49.803;11254;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@146;Caduceus@147;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
30.044;5698;;60s;Yes;No;2;0.85151;0.94125;0.00000;0.19486;1.79275;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@152;ParsCat@153;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;0.9412469685849811;0.8515058997100864;laptop_seller_utility.xml;laptop_buyer_utility.xml
60.000;12111;;60s;No;No;1;0.00000;0.00000;1.23539;1.29010;0.00000;boa-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Offering4-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Acceptance1_b_a-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Model1_l-C..Users.takum.IdeaProjects.SAIL.out.production.SAIL.boacomponents.Strategy1_t@154;YXAgent@155;0.0;0.0;0.0;0.0;0.0;0.0;laptop_seller_utility.xml;laptop_buyer_utility.xml
